FS_WITH_BEST_MCC	5
STEP	MCC	MCC_MIN	MCC_MAX	SENS	SENS_MIN	SENS_MAX	SPEC	SPEC_MIN	SPEC_MAX	PPV	PPV_MIN	PPV_MAX	NPV	NPV_MIN	NPV_MAX	AUC	AUC_MIN	AUC_MAX	ACC	ACC_MIN	ACC_MAX	DOR	DOR_MIN	DOR_MAX	DOR_APPROX
1	0.95388486601815092	0.93207513649468954	0.97328070397688993	0.96933333333333327	0.94733333333333336	0.98799999999999999	0.98000000000000009	0.96333333333333337	0.9933333333333334	0.98142857142857154	0.96619047619047616	0.99380952380952392	0.97714285714285698	0.95999999999999996	0.99142857142857144	1.0	1.0	1.0	0.97530303030303012	0.96348484848484828	0.98575757575757561	inf	inf	inf	1548.8260869565256
2	0.96055153268481741	0.94015739165802037	0.97992113870055331	0.96933333333333327	0.94733333333333336	0.98799999999999999	0.98666666666666669	0.97333333333333338	0.9966666666666667	0.98809523809523814	0.97619047619047605	0.99714285714285722	0.97714285714285698	0.95999999999999996	0.99142857142857144	1.0	1.0	1.0	0.97893939393939378	0.96818181818181781	0.98924242424242437	inf	inf	inf	2339.0434782608691
3	0.94078795111272129	0.91819010500610243	0.96120832408252188	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.9700000000000002	0.95333333333333325	0.98666666666666669	0.97142857142857153	0.95523809523809489	0.98761904761904762	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.96818181818181781	0.95606060606060583	0.9790909090909089	inf	inf	inf	918.64705882353769
4	0.94078795111272129	0.91819010500610243	0.96120832408252188	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.9700000000000002	0.95333333333333325	0.98666666666666669	0.97142857142857153	0.95523809523809489	0.98761904761904762	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.96818181818181781	0.95606060606060583	0.9790909090909089	inf	inf	inf	918.64705882353769
5	0.96674536249567677	0.94679782638168331	0.98349089046179028	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.9966666666666667	0.98999999999999999	1.0	0.9966666666666667	0.98999999999999999	1.0	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.98227272727272708	0.97166666666666623	0.99121212121212121	inf	inf	inf	8495.1176470589307
6	0.96364844759024704	0.94335939980590011	0.98073548722671444	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.99333333333333329	0.98333333333333328	1.0	0.99380952380952392	0.98428571428571421	1.0	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.98060606060606048	0.96984848484848452	0.98969696969696985	inf	inf	inf	4233.352941176453
7	0.96674536249567677	0.94679782638168331	0.98349089046179028	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.9966666666666667	0.98999999999999999	1.0	0.9966666666666667	0.98999999999999999	1.0	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.98227272727272708	0.97166666666666623	0.99121212121212121	inf	inf	inf	8495.1176470589307
8	0.96674536249567677	0.94679782638168331	0.98349089046179028	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.9966666666666667	0.98999999999999999	1.0	0.9966666666666667	0.98999999999999999	1.0	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.98227272727272708	0.97166666666666623	0.99121212121212121	inf	inf	inf	8495.1176470589307
9	0.96341202916234336	0.94356958629080023	0.98026265037090721	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.99333333333333329	0.98333333333333339	1.0	0.99333333333333329	0.98333333333333339	1.0	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.98045454545454536	0.96984848484848452	0.98939393939393938	inf	inf	inf	4233.352941176453
10	0.94698178092358054	0.92635122146887938	0.96740215389338113	0.96600000000000008	0.94333333333333347	0.98466666666666669	0.97666666666666668	0.9600000000000003	0.99333333333333329	0.97714285714285731	0.96142857142857152	0.99333333333333329	0.9742857142857142	0.95714285714285696	0.98857142857142843	1.0	1.0	1.0	0.97151515151515122	0.96045454545454523	0.98242424242424231	inf	inf	inf	1189.2352941176509
